K_dl	K_zld	K_cic	K_sna	K_vnd	a_dl	a_zld	a_cic	a_sna	a_vnd	q_btm	w_dl.zld	Beta	Cic_att
0.03328	6.97284	6.67105	5722.65	0.0217422	8.53265	2.80783	0.0377494	0.555657	1.14293e-05	0.00545666	4.04619	2.75423	7.22227
2.55166	1.63416	7.05716	1385.32	0.105266	1.91827	3.58579	0.0209634	0.167618	0.00140097	0.00398408	3.17356	3.6442	8.94551
0.0167848	0.374553	5.51957	1370.53	0.745626	8.83938	3.89584	0.0186127	0.496198	0.000114294	0.00957488	13.9384	12.3407	6.71161
0.805328	1.17356	5.72988	1967.99	0.108295	4.71644	2.93457	0.0537965	0.0394648	1.83326e-05	0.00788638	78.0615	2.21531	9.43555
0.299705	0.895472	5.21621	258.063	1.49063	2.6333	2.88262	0.0450087	0.00683325	0.00302035	0.00269052	86.3911	20.7612	7.22469
0.623369	0.0910465	5.2596	280.009	1.83933	3.04402	4.73494	0.0656723	0.00772198	0.000354845	0.0100008	99.6991	24.624	7.43469
0.0761046	8.33944	5.67784	2823.03	0.454427	1.00207	3.03576	3.65453e-05	0.539214	3.60359e-05	0.00211762	2.18853	4.055	6.74111
2.63257	1.54422	6.06932	734.27	1.9754	4.52954	3.87167	0.178049	0.258211	0.00555508	0.0012301	45.0375	3.37865	6.85851
0.177657	0.270983	7.08339	1685.84	0.397065	4.55879	5.34025	0.0092878	0.348882	0.000848473	0.00186703	43.6087	24.5465	9.88789
4.14736	0.307234	6.60235	455.973	1.41613	2.63452	4.53039	0.177679	0.0582068	0.00707023	0.00245785	42.1502	10.5601	8.98993
3.91788	0.499386	3.81733	267.307	2.33388	3.33809	4.25535	0.0686499	0.00960234	0.0111689	0.00113338	99.4239	9.02415	6.05949
0.47448	0.562761	10.2492	429.018	1.11797	2.76705	4.36246	0.0463684	0.00951536	0.0516514	0.0012277	72.2437	15.5496	11.7943
0.963346	8.00252	8.13853	1344.81	0.0740677	3.00818	2.11515	0.121705	0.0654559	0.00373805	0.00219633	99.2174	6.04173	10.6771
9.35895	1.14544	7.03611	281.821	5.09575	2.73009	4.89699	0.0319803	0.00499135	0.044604	0.00951317	12.5586	1.89697	4.47344
0.135018	0.120588	5.86864	1939.8	0.337992	5.2719	4.70102	0.0272064	0.435783	1.67878e-05	0.0098968	25.3646	24.7093	8.25932
0.010501	3.01426	5.65602	287.528	1.3758	8.62425	2.98467	0.0084166	0.00457551	0.0639044	0.00317496	60.4195	6.92407	6.60162
1.20405	0.240131	5.65791	5093.07	0.0835113	2.98555	3.65985	0.0255633	0.493508	0.0343465	0.0100009	34.192	9.52199	10.0075
0.0901138	0.512423	5.57109	483.461	0.78207	1.21576	4.19118	0.00146773	0.0275959	0.223734	0.00346708	25.6183	15.0936	7.44288
0.218393	0.136604	6.21179	1407.39	0.201595	4.51031	4.3578	0.0220409	0.230728	0.147497	0.0090995	27.8044	22.283	9.56193
1.78757	0.823246	5.02708	4795.21	0.130348	2.80782	2.49445	0.0195959	0.501761	0.263938	0.00672428	33.8732	7.78286	9.39191
8.77196	0.0581912	5.86802	513.583	1.69261	1.86484	5.85061	0.185533	0.0130133	0.16289	0.00400375	99.1544	21.0278	9.60597
26.0412	0.653586	4.0582	369.774	3.4661	2.35762	4.06972	0.0253403	0.049858	0.0232139	0.00257193	99.2111	3.02789	5.3961
0.459375	0.356356	5.54967	2118.29	0.111063	4.87325	5.42228	0.00766807	0.0078491	0.476323	0.00757329	73.0212	2.40337	9.9114
2.53482	0.862917	5.03064	322.083	1.79765	2.28302	3.18562	0.100709	0.148539	0.0122796	0.0030863	98.8592	8.20335	6.32914
0.0278699	8.65916	5.15737	1140.34	0.780654	3.86674	1.53707	0.0167887	0.482583	0.0551714	0.00804261	5.13621	24.9872	6.5639
