V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
7633.05	1165.56	9987.17	7.33754	312.388	3.81098	6.68263	0.0876891	0.00400501	0.00109987	0.0014047	29.3612	0.950496	13.9337	0.031498	0.019549	1
2543.65	7526.46	1454.14	40.6502	153.805	4.09774	4.96539	0.14076	0.0573034	0.000885995	0.000916586	1.0233	1.02526	11.1781	0.01797	0.0097159	2
8866.05	6371.27	7813.36	14.8971	365.095	3.79188	7.58415	0.0742606	0.138297	0.00102392	0.00124091	13.2884	0.946466	13.29	0.032072	0.020092	1
1210.77	6507.12	1781.64	64.7453	138.066	3.79997	5.21796	0.149808	0.0106512	0.00154519	0.00121191	5.17244	1.02253	11.7527	0.016989	0.0093735	2
9348.16	1109.28	7325.75	7.13363	349.781	3.7828	7.3668	0.0780349	0.19811	0.00104343	0.00132752	7.33155	0.959117	12.9534	0.03061	0.019476	1
9935.27	635.335	8285.34	25.3519	360.633	3.9246	7.36899	0.0796347	0.371114	0.000923608	0.00122773	5.80889	0.961178	13.1142	0.02952	0.020239	1
4487.96	3331.07	1874.99	18.4828	322.222	4.05621	7.55736	0.078867	0.00334565	0.00104828	0.00102518	1.01217	0.985003	10.9801	0.02521	0.01484	2
9472.24	2430.81	5037.92	13.0979	301.303	3.72196	6.77122	0.0876148	0.0950939	0.00103962	0.00145911	1.01883	0.969042	12.5779	0.025603	0.016998	1
2143.42	7650.87	2686.01	49.4111	213.07	3.84819	5.99926	0.122579	0.054033	0.00136404	0.00242881	1.06558	0.999002	12.3516	0.019758	0.011354	2
2941.5	3288.92	9426.65	33.8009	303.37	3.94928	6.86038	0.103989	0.244741	0.000997953	0.00168831	23.3099	0.966428	13.9599	0.027567	0.017633	1
2455.11	696.463	9912.95	58.2266	118.889	3.64912	4.54046	0.197356	0.0989866	0.000301159	0.000920062	8.25613	1.01208	14.1954	0.018584	0.012446	1
7992.55	8328.01	3753.69	4.35033	349.255	3.9842	7.08297	0.0818643	0.180162	0.00120141	0.00131543	0.997314	0.980992	11.9427	0.026467	0.016873	1
843.727	603.382	2793.36	35.1278	176.815	3.97927	6.35681	0.122039	0.00488179	0.000941841	0.00122635	29.4367	0.991987	12.3551	0.022064	0.011755	2
9971.22	5071.91	9704.32	27.5068	148.305	3.61642	4.20995	0.159702	0.08352	0.00294755	0.000964818	1.45485	0.9902	14.0974	0.020915	0.01315	2
7013.71	7297.23	9994.92	16.4741	378.394	4.0732	7.55797	0.0989065	0.130717	0.00102771	0.00127354	1.0661	0.960705	13.7736	0.02906	0.018406	1
9954.48	5631.32	9995.94	11.1124	344.592	3.785	7.06703	0.0878651	0.130375	0.00121645	0.00133667	4.10631	0.961621	13.5794	0.028686	0.019371	1
1832.97	9862.11	2808.1	26.5998	302.066	3.98624	7.61334	0.0845892	0.0211304	0.000814236	0.0015959	13.2698	0.977486	11.7668	0.025848	0.015191	2
2642.86	3173.23	4614.39	38.0401	352.242	4.01946	7.34911	0.0849528	0.201613	0.00107588	0.00247713	11.7073	0.963559	12.6576	0.02759	0.016475	1
2384.29	6495.18	6905.31	9.08957	317.492	3.94663	7.15606	0.0965591	0.0251944	0.000866446	0.00211186	24.052	0.969981	13.3546	0.027272	0.016965	1
2766.94	2579.22	3063.25	16.7226	359.054	3.97669	8.19827	0.0817228	0.0214103	0.00101279	0.00157623	3.89948	0.977436	11.8736	0.025884	0.015619	2
4363.89	1700.78	3314.76	20.3721	336.981	3.87227	7.48781	0.082361	0.237837	0.00113337	0.00153478	2.92874	0.976099	11.9362	0.025797	0.015954	1
5570.65	5406.77	4756.22	33.9791	309.146	3.83791	7.17489	0.0901984	0.204941	0.000987192	0.0011069	2.84037	0.969326	12.5194	0.025177	0.016737	1
3424.83	1717.04	2725.79	19.2589	309.348	4.10123	6.85562	0.0964294	0.00300971	0.00130958	0.00180438	1.24827	0.988225	11.8571	0.023756	0.013625	2
2285.73	3709.4	1727.02	39.3844	247.773	4.11775	6.73266	0.104778	0.0177258	0.00150778	0.00108351	1.32876	1.00412	11.3744	0.020431	0.012071	2
8387.5	6923.51	9963.95	6.61163	379.141	3.94167	7.44287	0.0959254	0.0142479	0.00132165	0.00134898	1.15389	0.966097	13.7811	0.027683	0.018287	1
9495.26	3559.68	6632.15	4.35064	363.738	3.83124	7.46731	0.0756297	0.067571	0.000902844	0.00130197	4.29034	0.956856	12.8182	0.029938	0.019359	1
5118.23	1987.08	7659.06	7.84298	301.204	4.00314	6.48167	0.105359	0.023254	0.00107335	0.00137445	3.817	0.967666	13.3925	0.027291	0.01665	1
7799.26	2302.19	4869.25	8.53457	315.544	3.80903	6.93185	0.0822757	0.154824	0.000955648	0.00129854	3.55329	0.971092	12.2808	0.025178	0.017693	1
3440.09	5100.07	3373.89	17.3577	261.76	3.56729	6.87793	0.0973187	0.015999	0.0011104	0.0018704	2.61985	0.975597	12.3862	0.024204	0.014387	1
9701.8	7900.97	7448.07	6.12897	332.654	3.98621	6.77919	0.0942862	0.0381906	0.000975741	0.00123385	0.99366	0.970987	13.1215	0.026507	0.017846	1
5480.1	9935	6405.06	16.1311	139.587	2.529	6.33756	0.133226	0.153227	0.000954665	0.00155878	3.95336	0.983807	13.434	0.023912	0.014428	1
3911.96	7747.95	4423.62	13.2087	328.768	3.94001	7.21259	0.0881042	0.0872013	0.0010371	0.00143891	6.42635	0.974685	12.381	0.025579	0.016079	1
2594.36	5881.47	1650.06	31.1605	188.562	3.78441	5.23576	0.110488	0.0512879	0.00147612	0.00172744	5.19124	1.00946	11.0659	0.019785	0.011434	2
7500.59	4266.05	7369.77	7.19921	399.654	3.97147	7.58476	0.0730383	0.285373	0.00108106	0.00140648	14.3551	0.954165	13.2131	0.03107	0.01982	1
6323.63	847.119	9910.42	17.3967	344.79	3.85182	7.49202	0.0949253	0.102436	0.000770376	0.00147418	3.0176	0.957357	13.8013	0.029183	0.019184	1
1479.43	1993.45	4507.48	26.6417	237.381	4.11128	6.18028	0.115519	0.00403992	0.000902343	0.00189286	18.5383	0.986112	12.8844	0.022086	0.013174	2
4110.96	1311.7	4894.35	5.4861	341.612	3.92678	7.43607	0.0824768	0.00495421	0.00102092	0.00144977	12.0635	0.968866	12.5546	0.027359	0.017133	1
8991.29	7703.83	5686.31	10.5667	335.817	4.00201	6.74235	0.0895456	0.0135719	0.00111021	0.00137873	1.00354	0.965825	12.7277	0.026849	0.017008	1
7898.38	7603.22	6528.18	5.0053	380.225	3.87015	7.56823	0.074608	0.225628	0.00104803	0.00138691	6.60443	0.954814	12.9395	0.030527	0.019213	1
4582.01	4284.79	8309.7	12.41	223.596	3.80148	5.65733	0.13641	0.0371445	0.00149329	0.00119926	2.80331	0.989204	13.6247	0.023811	0.014409	2
7668.08	7173.02	7482.09	13.4639	363.541	3.8732	7.45514	0.0775418	0.066786	0.00110317	0.00122559	12.3827	0.94766	13.1947	0.031303	0.019388	1
8084.76	5899.85	9456.32	7.07583	388.087	3.8323	7.73341	0.0725871	0.0567871	0.000980064	0.00140076	71.1658	0.950046	13.745	0.03231	0.021533	3
9141.73	7322.74	8644.69	5.9135	413.681	3.88232	7.91443	0.067263	0.142197	0.000968851	0.00140229	72.55	0.943256	13.4866	0.035586	0.02187	3
9554.61	6505.74	9308.8	10.1711	407.227	3.90275	7.76074	0.0691079	0.0706061	0.000991987	0.00137863	72.1911	0.94492	13.5893	0.034214	0.021986	3
6859.87	4247.27	7402.72	8.54412	375.529	3.85135	7.64372	0.0735998	0.253266	0.00102669	0.00134885	36.9894	0.953289	13.2808	0.031818	0.020036	1
9225.85	3588.68	8801.89	10.2471	353.058	3.65065	7.68879	0.0730704	0.12932	0.000958011	0.00130675	67.7037	0.943077	13.5861	0.034552	0.021237	3
7372.48	5383.58	9648.75	5.69239	379.97	3.77529	7.66922	0.0747448	0.116686	0.000948314	0.00163468	64.1693	0.943165	13.8163	0.035469	0.021437	3
8634.49	7475.93	9469.72	5.21566	362.585	3.69282	7.74345	0.0747548	0.130618	0.000976712	0.00128839	70.4859	0.94665	13.6832	0.034431	0.021428	3
8228.04	9812.52	9218.54	4.85136	366.07	3.69485	7.71638	0.0741216	0.120429	0.000972052	0.0014061	73.9096	0.944036	13.7114	0.035335	0.021346	3
7030.95	2996.72	9763.43	8.48366	370.326	3.76652	7.71366	0.0763107	0.195038	0.000991761	0.00147692	74.0777	0.939043	13.9206	0.036097	0.021363	3
7634.43	9998.19	9371.9	6.13018	355.097	3.69097	7.57632	0.0775638	0.190559	0.000966506	0.00144699	65.767	0.947987	13.6706	0.034175	0.021083	3
8016.2	7453.16	9979.35	6.27859	399.496	3.90037	7.75468	0.0727334	0.114994	0.000916307	0.00141115	73.784	0.946095	13.7742	0.034804	0.02192	3
